"round","project","bug_id","seed","budget","tests","coverage","line_cov","branch_cov","total_goals","covered_goals","lines","covered_lines","total_branches","covered_branches","buggy_result","buggy_fails","fixed_result","fixed_fails","verdict"
1,"Chart",10,20260918,60,1,100,100,100,5,5,2,3,0,0,"PASS",0,"FAIL",1,"INCONCLUSIVE"
1,"Chart",11,20260918,60,58,95.78,96.43,95.12,319,305,21,189,116,110,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",13,20260918,60,14,63.63,63.32,63.93,351,222,10,145,120,76,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",14,20260918,60,1,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Chart",15,20260918,60,1,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Chart",16,20260918,60,51,86.95,87.77,86.13,325,283,32,165,128,109,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",17,20260918,60,54,93.27,94.44,92.11,440,411,44,272,128,116,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Chart",18,20260918,60,50,98.4,99.31,97.48,416,410,45,264,124,120,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Chart",1,20260918,60,4,9.46,9.06,9.85,848,79,66,52,242,24,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",20,20260918,60,7,93.88,95.45,92.31,35,33,6,21,8,7,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",21,20260918,60,49,93.3,98.14,88.46,239,227,38,158,60,51,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",22,20260918,60,17,94.22,96.77,91.67,196,186,21,120,58,52,"PASS",0,"FAIL",2,"INCONCLUSIVE"
1,"Chart",23,20260918,60,1,9.95,11.97,7.94,205,22,24,17,46,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",24,20260918,60,8,100,100,100,40,40,7,25,10,10,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",25,20260918,60,4,8.23,7.47,8.99,263,21,11,13,82,7,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",26,20260918,60,54,81.08,82.06,78.92,506,409,56,279,130,97,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Chart",4,20260918,60,1,"","","",0,0,0,0,0,0,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
